@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
4584,'2018/02/13 20:11:59:783',18,0.50865,0.520858,0.606563,0.459716,0.522865,?
4585,'2018/02/13 20:11:59:803',18,0.508939,0.519748,0.605857,0.459716,0.522865,?
4586,'2018/02/13 20:11:59:840',18,0.508319,0.518228,0.605256,0.459716,0.522865,?
4587,'2018/02/13 20:11:59:858',18,0.507937,0.516936,0.60419,0.459716,0.522865,?
4588,'2018/02/13 20:11:59:876',18,0.507467,0.515261,0.603284,0.459716,0.522865,?
4589,'2018/02/13 20:11:59:894',18,0.507357,0.513549,0.601958,0.459716,0.522865,?
4590,'2018/02/13 20:11:59:896',18,0.506975,0.512382,0.601108,0.459716,0.522865,?
4591,'2018/02/13 20:11:59:912',18,0.506361,0.51139,0.600109,0.459716,0.522865,?
4592,'2018/02/13 20:11:59:915',18,0.506416,0.510259,0.598981,0.459716,0.522865,?
4593,'2018/02/13 20:11:59:926',18,0.505742,0.509585,0.598301,0.459716,0.522865,?
4594,'2018/02/13 20:11:59:961',18,0.505025,0.509013,0.598278,0.459716,0.522865,?
4595,'2018/02/13 20:11:59:965',18,0.504416,0.508526,0.597703,0.459716,0.522865,?
4596,'2018/02/13 20:11:59:996',18,0.503753,0.508401,0.597214,0.459716,0.522865,?
4597,'2018/02/13 20:11:59:996',18,0.503479,0.508583,0.596243,0.459716,0.522865,?
4598,'2018/02/13 20:12:00:035',18,0.502813,0.508738,0.59514,0.459716,0.522865,?
4599,'2018/02/13 20:12:00:036',18,0.501958,0.508581,0.595036,0.459716,0.522865,?
4600,'2018/02/13 20:12:00:064',18,0.501232,0.509313,0.595225,0.459716,0.522865,?
4601,'2018/02/13 20:12:00:065',18,0.50047,0.510224,0.595941,0.459716,0.522865,?
4602,'2018/02/13 20:12:00:094',18,0.499246,0.511575,0.597383,0.459716,0.522865,?
4603,'2018/02/13 20:12:00:110',18,0.498205,0.512723,0.598887,0.459716,0.522865,?
4604,'2018/02/13 20:12:00:116',18,0.497465,0.513411,0.600165,0.459716,0.522865,?
4605,'2018/02/13 20:12:00:134',18,0.49698,0.514284,0.601529,0.459716,0.522865,?
4606,'2018/02/13 20:12:00:154',18,0.496856,0.515026,0.602411,0.459716,0.522865,?
4607,'2018/02/13 20:12:00:173',18,0.49675,0.516234,0.603716,0.459716,0.522865,?
4608,'2018/02/13 20:12:00:225',18,0.496949,0.517549,0.60427,0.459716,0.522865,?
4609,'2018/02/13 20:12:00:252',18,0.49784,0.518666,0.604185,0.459716,0.522865,?
4610,'2018/02/13 20:12:00:258',18,0.498452,0.520193,0.604113,0.459716,0.522865,?
4611,'2018/02/13 20:12:00:277',18,0.498973,0.521203,0.603773,0.459716,0.522865,?
4612,'2018/02/13 20:12:00:278',18,0.499415,0.522061,0.60293,0.459716,0.522865,?
4613,'2018/02/13 20:12:00:306',18,0.499647,0.52279,0.602768,0.459716,0.522865,?
4614,'2018/02/13 20:12:00:309',18,0.499844,0.52341,0.603742,0.459716,0.522865,?
4615,'2018/02/13 20:12:00:326',18,0.500445,0.524514,0.604847,0.459716,0.522865,?
4616,'2018/02/13 20:12:00:329',18,0.501965,0.525452,0.606342,0.459716,0.522865,?
4617,'2018/02/13 20:12:00:349',18,0.503833,0.52625,0.607891,0.459716,0.522865,?
4618,'2018/02/13 20:12:00:350',18,0.50571,0.527216,0.608096,0.459716,0.522865,?
4619,'2018/02/13 20:12:00:358',18,0.507883,0.527749,0.608826,0.459716,0.522865,?
4620,'2018/02/13 20:12:00:376',18,0.51045,0.528202,0.609169,0.459716,0.522865,?
4621,'2018/02/13 20:12:00:379',18,0.511767,0.528587,0.609738,0.459716,0.522865,?
4622,'2018/02/13 20:12:00:397',18,0.512887,0.528626,0.609944,0.459716,0.522865,?
4623,'2018/02/13 20:12:00:400',18,0.513406,0.527794,0.610397,0.459716,0.522865,?
4624,'2018/02/13 20:12:00:418',18,0.51327,0.527086,0.610226,0.459716,0.522865,?
4625,'2018/02/13 20:12:00:420',18,0.513299,0.526773,0.609248,0.459716,0.522865,?
4626,'2018/02/13 20:12:00:430',18,0.513467,0.52593,0.608416,0.459716,0.522865,?
4627,'2018/02/13 20:12:00:458',18,0.512601,0.525214,0.607987,0.459716,0.522865,?
4628,'2018/02/13 20:12:00:461',18,0.512297,0.523739,0.607622,0.459716,0.522865,?
4629,'2018/02/13 20:12:00:498',18,0.512039,0.522198,0.606757,0.459716,0.522865,?
4630,'2018/02/13 20:12:00:501',18,0.51182,0.520887,0.605188,0.459716,0.522865,?
4631,'2018/02/13 20:12:00:518',18,0.511057,0.518908,0.603576,0.459716,0.522865,?
4632,'2018/02/13 20:12:00:535',18,0.509542,0.516649,0.602206,0.459716,0.522865,?
4633,'2018/02/13 20:12:00:542',18,0.507967,0.515017,0.601042,0.459716,0.522865,?
4634,'2018/02/13 20:12:00:565',18,0.506339,0.512764,0.599775,0.459716,0.522865,?
4635,'2018/02/13 20:12:00:571',18,0.504234,0.511138,0.59842,0.459716,0.522865,?
4636,'2018/02/13 20:12:00:595',18,0.50259,0.508891,0.596712,0.459716,0.522865,?
4637,'2018/02/13 20:12:00:603',18,0.501191,0.506403,0.594983,0.459716,0.522865,?
4638,'2018/02/13 20:12:00:621',18,0.500147,0.504289,0.592958,0.459716,0.522865,?
4639,'2018/02/13 20:12:00:623',18,0.499404,0.502203,0.591236,0.459716,0.522865,?
4640,'2018/02/13 20:12:00:640',18,0.49834,0.501007,0.590329,0.459716,0.522865,?
4641,'2018/02/13 20:12:00:643',18,0.497435,0.500568,0.590113,0.459716,0.522865,?
4642,'2018/02/13 20:12:00:662',18,0.49681,0.500194,0.590485,0.459716,0.522865,?
4643,'2018/02/13 20:12:00:664',18,0.496279,0.500165,0.59219,0.459716,0.522865,?
4644,'2018/02/13 20:12:00:682',18,0.495827,0.501006,0.594195,0.459716,0.522865,?
4645,'2018/02/13 20:12:00:684',18,0.496165,0.502874,0.595621,0.459716,0.522865,?
4646,'2018/02/13 20:12:00:702',18,0.496307,0.504174,0.597667,0.459716,0.522865,?
4647,'2018/02/13 20:12:00:704',18,0.49715,0.506144,0.598572,0.459716,0.522865,?
4648,'2018/02/13 20:12:00:763',18,0.49801,0.507818,0.598786,0.459716,0.522865,?
4649,'2018/02/13 20:12:00:790',18,0.498164,0.509242,0.599246,0.459716,0.522865,?
4650,'2018/02/13 20:12:00:795',18,0.497863,0.511606,0.60047,0.459716,0.522865,?
4651,'2018/02/13 20:12:00:813',18,0.497751,0.513326,0.602067,0.459716,0.522865,?
4652,'2018/02/13 20:12:00:816',18,0.497511,0.515654,0.603979,0.459716,0.522865,?
4653,'2018/02/13 20:12:00:844',18,0.498029,0.517633,0.605049,0.459716,0.522865,?
4654,'2018/02/13 20:12:00:846',18,0.498757,0.519315,0.605402,0.459716,0.522865,?
4655,'2018/02/13 20:12:00:863',18,0.499376,0.520745,0.605148,0.459716,0.522865,?
4656,'2018/02/13 20:12:00:868',18,0.499181,0.521671,0.605209,0.459716,0.522865,?
4657,'2018/02/13 20:12:00:884',18,0.498871,0.522459,0.605816,0.459716,0.522865,?
4658,'2018/02/13 20:12:00:902',18,0.498464,0.523994,0.606333,0.459716,0.522865,?
4659,'2018/02/13 20:12:00:908',18,0.498406,0.525299,0.606216,0.459716,0.522865,?
4660,'2018/02/13 20:12:00:926',18,0.498212,0.525831,0.606117,0.459716,0.522865,?
4661,'2018/02/13 20:12:00:932',18,0.498625,0.526283,0.605755,0.459716,0.522865,?
4662,'2018/02/13 20:12:00:965',18,0.499696,0.526379,0.605447,0.459716,0.522865,?
4663,'2018/02/13 20:12:00:968',18,0.500607,0.526749,0.60463,0.459716,0.522865,?
4664,'2018/02/13 20:12:00:985',18,0.501526,0.526198,0.604214,0.459716,0.522865,?
4665,'2018/02/13 20:12:00:988',18,0.502018,0.526019,0.604415,0.459716,0.522865,?
4666,'2018/02/13 20:12:01:015',18,0.502869,0.525866,0.604308,0.459716,0.522865,?
4667,'2018/02/13 20:12:01:033',18,0.50417,0.525447,0.604495,0.459716,0.522865,?
4668,'2018/02/13 20:12:01:039',18,0.505563,0.525092,0.604099,0.459716,0.522865,?
4669,'2018/02/13 20:12:01:057',18,0.506748,0.524213,0.603762,0.459716,0.522865,?
4670,'2018/02/13 20:12:01:074',18,0.508332,0.523465,0.603197,0.459716,0.522865,?
4671,'2018/02/13 20:12:01:081',18,0.509246,0.522542,0.602996,0.459716,0.522865,?
4672,'2018/02/13 20:12:01:098',18,0.50959,0.522045,0.60338,0.459716,0.522865,?
4673,'2018/02/13 20:12:01:135',18,0.510026,0.520469,0.603428,0.459716,0.522865,?
4674,'2018/02/13 20:12:01:140',18,0.510253,0.520283,0.60347,0.459716,0.522865,?
4675,'2018/02/13 20:12:01:168',18,0.51059,0.519549,0.603505,0.459716,0.522865,?
4676,'2018/02/13 20:12:01:172',18,0.5103,0.519212,0.603812,0.459716,0.522865,?
4677,'2018/02/13 20:12:01:206',18,0.510197,0.518638,0.60324,0.459716,0.522865,?
4678,'2018/02/13 20:12:01:212',18,0.509677,0.517862,0.603032,0.459716,0.522865,?
4679,'2018/02/13 20:12:01:262',18,0.508658,0.516625,0.6023,0.459716,0.522865,?
4680,'2018/02/13 20:12:01:272',18,0.508369,0.515285,0.601399,0.459716,0.522865,?
4681,'2018/02/13 20:12:01:311',18,0.507402,0.514435,0.600911,0.459716,0.522865,?
4682,'2018/02/13 20:12:01:312',18,0.507013,0.512846,0.600219,0.459716,0.522865,?
4683,'2018/02/13 20:12:01:329',18,0.506394,0.511785,0.599353,0.459716,0.522865,?
4684,'2018/02/13 20:12:01:331',18,0.505867,0.510017,0.598617,0.459716,0.522865,?
4685,'2018/02/13 20:12:01:369',18,0.505564,0.508514,0.597713,0.459716,0.522865,?
4686,'2018/02/13 20:12:01:371',18,0.50473,0.507237,0.597223,0.459716,0.522865,?
4687,'2018/02/13 20:12:01:389',18,0.504164,0.505863,0.596528,0.459716,0.522865,?
4688,'2018/02/13 20:12:01:393',18,0.503107,0.504695,0.596216,0.459716,0.522865,?
4689,'2018/02/13 20:12:01:410',18,0.502352,0.504279,0.595672,0.459716,0.522865,?
4690,'2018/02/13 20:12:01:413',18,0.501134,0.503926,0.596044,0.459716,0.522865,?
4691,'2018/02/13 20:12:01:433',18,0.499954,0.503626,0.596915,0.459716,0.522865,?
4692,'2018/02/13 20:12:01:433',18,0.499529,0.50337,0.597378,0.459716,0.522865,?
4693,'2018/02/13 20:12:01:452',18,0.500032,0.502865,0.597493,0.459716,0.522865,?
4694,'2018/02/13 20:12:01:453',18,0.500171,0.502723,0.598147,0.459716,0.522865,?
4695,'2018/02/13 20:12:01:470',18,0.500146,0.50318,0.598703,0.459716,0.522865,?
4696,'2018/02/13 20:12:01:474',18,0.500124,0.504146,0.599453,0.459716,0.522865,?
4697,'2018/02/13 20:12:01:490',18,0.499528,0.505255,0.600368,0.459716,0.522865,?
4698,'2018/02/13 20:12:01:494',18,0.499166,0.506486,0.601424,0.459716,0.522865,?
4699,'2018/02/13 20:12:01:513',18,0.499147,0.507532,0.601766,0.459716,0.522865,?
4700,'2018/02/13 20:12:01:514',18,0.498121,0.508998,0.602334,0.459716,0.522865,?
4701,'2018/02/13 20:12:01:542',18,0.496672,0.509956,0.602818,0.459716,0.522865,?
4702,'2018/02/13 20:12:01:546',18,0.495729,0.511636,0.602951,0.459716,0.522865,?
4703,'2018/02/13 20:12:01:563',18,0.495072,0.512775,0.603619,0.459716,0.522865,?
4704,'2018/02/13 20:12:01:565',18,0.494224,0.514609,0.604743,0.459716,0.522865,?
4705,'2018/02/13 20:12:01:584',18,0.493648,0.516456,0.605976,0.459716,0.522865,?
4706,'2018/02/13 20:12:01:585',18,0.493736,0.518026,0.606746,0.459716,0.522865,?
4707,'2018/02/13 20:12:01:603',18,0.49381,0.519649,0.606845,0.459716,0.522865,?
4708,'2018/02/13 20:12:01:620',18,0.49445,0.52074,0.606374,0.459716,0.522865,?
4709,'2018/02/13 20:12:01:638',18,0.494706,0.521956,0.606529,0.459716,0.522865,?
4710,'2018/02/13 20:12:01:656',18,0.495067,0.522124,0.606939,0.459716,0.522865,?
4711,'2018/02/13 20:12:01:656',18,0.49523,0.523133,0.607287,0.459716,0.522865,?
4712,'2018/02/13 20:12:01:674',18,0.495946,0.523701,0.607583,0.459716,0.522865,?
4713,'2018/02/13 20:12:01:702',18,0.497419,0.524184,0.607556,0.459716,0.522865,?
4714,'2018/02/13 20:12:01:734',18,0.499249,0.524595,0.606978,0.459716,0.522865,?
4715,'2018/02/13 20:12:01:739',18,0.500948,0.524367,0.606765,0.459716,0.522865,?
4716,'2018/02/13 20:12:01:756',18,0.502681,0.524174,0.606861,0.459716,0.522865,?
